씬 ID,씬 종류,대화 ID,초상화,화자,대사,선택지 ID,연결된 대화 ID,효과음,배경음악,표시 아이템,삽화
,,,,,많다고 생각한거 맞으면서 ㅋㅋㅋㅋ,,,,,,
,,27,,주인공,ㅋㅋㅋㅋㅋㅋ...,,,,,,
,,28,,이채린,....후,,,,,,
,,,,,그럼 나 말 편하게 해도 되지?,,,,,,
,,29,,주인공,네...뭐 편하신대로.,,,,,,
,,30,,이채린,그럼 그쪽도 편하게 반말해요.,,,,,,
,,,,,짜피 나이 차이도 거의 안 나는데 뭐 ㅋㅋㅋ,,,,,,
,,31,,주인공,저는 천천히 말 트겠습니다. 바로 트기는 좀 그래서.,,,,,,
,,32,,이채린,편한 대로 해~,,,,,,
,,33,,주인공,(쉽지 않네....),,,,,,
,,34,,이채린,....후,,,,,,
,,,,이채린,너 혹시 담배는 펴?,,,,,,
,,35,,주인공,음...예전에 잠깐 핀 거 말고는 딱히 핀 적 없긴해요.,,,,,,
,,,,,끊은 지 오래라.,,,,,,
,,36,,이채린,무슨 담배 폈었어??,,,,,,
,,37,,주인공,"뭐, 연쵸죠, 그냥 주변에서 하도 많이 펴가지고 자연스럽게 피게된..",,,,,,
,,,,,"원해서 핀 건 아니었어요, 사회생활 하려면 필 수밖에 없어서.",,,,,,
,,38,,이채린,사회생활이면... 너 회사 다니고 있어?,,,,,,
,,39,,주인공,"예전에 다녔었죠, 지금은 쉬고 있고요.",,,,,,
,,40,,이채린,음~ 그럼 요새 되게 한가하겠네?,,,,,,
,,41,,주인공,뭐 그렇죠?,,,,,,
,,42,,이채린,후.... ,,,,,,
,,,,,너 나랑 되게 잘 맞는다.,,,,,,
,,,,,나 1주일 뒤면 이사 갈 거 같아서 그러는데 혹시 부탁 하나만 해도 될까?,,,,,,
,,43,,주인공,음..? ,,,,,,
,,,,,뭐 들어 줄 수 있는거라면요..?,,,,,,
,,44,,이채린,크게 어려운건 아니고 오늘처럼 나랑 이렇게 배란다에서 수다 떨자.,,,,,,
,,,,,"지금이 음....10시쯤이니까, 저녁 먹고 9시마다.",,,,,,
,,,,,어때? ,,,,,,
,,45,,주인공,(갑자기..?),,,,,,
,,,,,(뭐..나도 이제 슬슬 사람처럼 살아야 하기도 하고),,,,,,
,,,,,(밖에 나가서 사람 만나는 것보단 나으니까...),,,,,,
,,,,,(뭐..괜찮겠지),,,,,,
,,,,,(근데 왜 하필 나지...? 친구 되게 많아 보이는데),,,,,,
,,,,,혹시 왜 저인지..?,,,,,,
,,46,,이채린,음....나 친구가 없어.,,,,,,
,,47,,주인공,....,,,,,,
,,48,,이채린,그러니까 네가 내 말동무 해줘라 어때?,,,,,,
,,49,,주인공,....음,,,,,,
,,,,,그래요…뭐 1주일 정도는 제가 말동무 해드릴게요.,,,,,,
,,50,,이채린,"아싸, 1주일동안 담친 생겼다 ㅋㅋ",,,,,,
,,51,,주인공,ㅋㅋㅋㅋㅋㅋ 어이없어.,,,,,,
,,52,,이채린,"그리고, 너 낼부터 반말 써라, 존댓말 엄청 어색한 거 알지?",,,,,,
,,53,,주인공,(그런가...? 하도 사람들이랑 얘기를 안 하니까 어색해졌나 보네),,,,,,
,,,,,"알겠어, 노력해 볼게.",,,,,,
,,54,,이채린,그래 ㅋㅋㅋㅋ,,,,,,
,,,,,그럼 내일 보자~,,,,,,
3,General,1,,주인공,예전에 좋아하던 밴드다.,,,,,,
,,,,,지금도 공연하고 있으려나...,,,,,,
4,General,1,,주인공,먹다 남은 배달 음식들이다.,,,,,,
,,,,,매번 시켜먹지만 항상 남기게 된다.,,,,,,
,,,,,오랜된건 버려야 하는데...,,,,,,
,,,,,귀찮다...,,,,,,
5,General,1,,주인공,온라인에서 시킨 반찬들이다.,,,,,,
,,,,,배고플 때마다 하나씩 꺼내서 밥이랑 먹고 있다.,,,,,,
,,,,,누나가 배달 음식은 적당히 먹으라고 해서 그런지 많이 안 먹고 있다.,,,,,,
6,General,,,주인공,까먹을까 봐 적어둔 외주 알바다.,,,,,,
,,,,,이거라도 해야 생활비가....,,,,,,
7,General,1,,주인공,밖에 나가는 유일한 이유이다.,,,,,,
,,,,,슬슬 버려야 하는데...,,,,,,
,,,,,귀찮다...,,,,,,
8,General,1,,주인공,이불 정리가 안된 더러운 침대다.,,3,,,,
,,2,,주인공,이불이랑 베개가 정리 정돈된 침대다,,,,,,
,,3,,,취침하시겠습니까?,1,,,,,
9,General,1,,,낡고 허름한 베란다가 보인다.,2,,,,,
10,General,1,,,인생의 동반자다.,,,,,,
,,,,,컴퓨터가 없었다면....,,,,,,
,,,,,아마 평생 동안 침대에 누워 살았겠지.,,,,,,
,,,,,알바를 시작 하시겠습니까?,3,,,,,
,,2,,,오늘치 알바를 끝냈습니다!,,,,,,
11,General,1,,,누나가 좋아할려나...,,,,,,
,,,,,선물을 구매하십니까?,4,,,,,
,,2,,,선물을 구매했습니다! (주문 동시 도착!),,,,,,
12,General,1,,,아..피곤하다..,,,,,,
,,2,,,오래 자서 그런지 배고프네..,,,,,,
,,3,,,몇시지...? 벌써 9시네.,,,,,,
,,4,,,아...씻어야되는데...,,,,,,
,,5,,,인간은 왜 일어나야 하는 걸까.,,,,,,
,,6,,,어제 내가 알바를 했나...?,,,,,,
,,7,,,아...화장실...,,,,,,
13,General,,,,,,,,,,
