씬 ID,대화 ID,대화 종류,화자,대사,선택지 ID,연결된 대화 ID,삽화,초상화,표시 아이템,효과음,배경음악
111,1,RoomDialogue,김진혁,오늘은...여기까지만 하자.,,,,,,,
112,1,RoomDialogue,김진혁,선물도 샀는데...굳이 더 할 필요는 없지.,,,,,,,
113,1,RoomDialogue,김진혁,아...피곤하다...,,,,,,,
114,1,RoomDialogue,김진혁,오래 자서 그런지 배고프네...,,,,,,,
115,1,RoomDialogue,김진혁,몇시지..?,,,,,,,
116,1,RoomDialogue,김진혁,아...씻어야되는데...,,,,,,,
117,1,RoomDialogue,김진혁,인간은 왜 일어나야 하는 걸까.,,,,,,,
118,1,RoomDialogue,김진혁,어제 내가 외주를 했나...?,,,,,,,
119,1,RoomDialogue,김진혁,아...화장실...,,,,,,,
120,1,RoomDialogue,김진혁,아직 피곤하지는 않은데...,,,,,,,
121,1,RoomDialogue,김진혁,일단 베란다 부터...,,,,,,,
122,1,RoomDialogue,김진혁,오늘은...그닥 나가기 싫다.,,,,,,,
123,1,RoomDialogue,김진혁,잘래.,,,,,,,
124,1,RoomDialogue,김진혁,이제 슬슬 자야지.,,,,,,,
1000,1,RoomDialogue,김진혁,하...머리 아파...,,,,,,,
,,,,밖에 비라도 내리고 있나...,,,,,,,
,,,,몇시지...?,,,,,,,
,,,,......,,,,,,,
,,,,밤 9시네.,,,,,,,
,,,,......,,,,,,,
,,,,베란다라도 나가 볼까...,,,,,,,
1001,1,VerandaDialogue,김진혁,(얼마만의 밖이냐...진짜 안 나간 지 한잠 됐네.),,,CV_Smoking_Illustration,NamNormal_Portrait,,Beranda_Sound_SFX,
,,,,(비 온다...),,,,,,,
,,,,(어우 춥다...),,,,,,,
,,,,(오래는 못 있겠다...),,,,,,,
,,,,(음...?),,,,,,,
,,,,(누구지...?),,,,,,,
,,,,(옆집에 누가 살았었나...?),,,,,,,
,2,VerandaDialogue,???,.......후,,,,CharinNormal_Portrait,,,NormalTalk_BGM
,,,,피곤해...,,,CV_HandSmoke_Illustration,,,,
,,,,...?,,,,,,,
,,,,어 뭐야@ 옆집에 사람이 살고 있었네..?,,,,NamSuprised_Portrait,,,
,3,VerandaDialogue,김진혁,...?,,,,NamNormal_Portrait,,,
,,,,아...네...?,,,,,,,
,,,,(옆집에 사람이 살았었나...),,,,,,,
,4,VerandaDialogue,???,아 죄송해요@ 사람 만나는 게 좀 오랜만이라 갑자기 말 걸어서 당황하셨죠.,,,,CharinSmile_Portrait,,,
,5,VerandaDialogue,김진혁,아@ 아닙니다@ 괜찮습니다.,,,,NamNormal_Portrait,,,
,6,VerandaDialogue,???,원래 이 집 살던 사람이에요?,,,,CharinSmile_Portrait,,,
,7,VerandaDialogue,김진혁,아...네,,,,NamNormal_Portrait,,,
,,,,산 지 좀 됐어요.,,,,,,,
,8,VerandaDialogue,???,진짜요?,,,,CharinSuprised_Portrait,,,
,,,,저는 얼마 되지는 않았어요@ 이제 3달 정도?,,,,CharinSmile_Portrait,,,
,9,VerandaDialogue,김진혁,얼마 안 되셨네요...,,,,NamNormal_Portrait,,,
,10,VerandaDialogue,???,그쵸@ 아직 얼마 안 되긴 했죠.,,,,CharinSmile_Portrait,,,
,11,VerandaDialogue,김진혁,(아...어색하다...),,,,NamNormal_Portrait,,,
,,,,(...),,,CV_Smoking_Illustration,,,,
,,,,(이제 들어갈까…),,,,,,,
,12,VerandaDialogue,???,...후,,,,CharinNormal_Portrait,,,
,,,,죄송해요@ 담배 냄새 많이 나죠?,,,CV_HandSmoke_Illustration,CharinSmile_Portrait,,,
,13,VerandaDialogue,김진혁,아...아니에요...,,,,NamNormal_Portrait,,,
,,,,괜찮습니다...,,,,,,,
,14,VerandaDialogue,???,음...,,,,CharinNormal_Portrait,,,
,,VerandaDialogue,이채린,아직 서로 자기소개도 안 했네요@ 저는 이채린이에요. 그쪽은요?,,,,CharinSmile_Portrait,,,
,15,VerandaDialogue,김진혁,아@ 저는 김진혁입니다. ,,,,NamNormal_Portrait,,,
,16,VerandaDialogue,이채린,반가워요. 진혁씨.,,,,CharinSmile_Portrait,,,
,,,,...후,,,CV_Smoking_Illustration,CharinNormal_Portrait,,,
,17,VerandaDialogue,김진혁,(여기 살면서 옆집에 누가 사는 건 처음 알았네.),,,,NamNormal_Portrait,,,
,,,,(이사 온지 얼마 안되서 내가 모르고 있었나...),,,CV_HandSmoke_Illustration,,,,
,,,,(어색하네...),,,,,,,
,18,VerandaDialogue,이채린,혹시 진혁씨는 베란다 자주 나와요?,,,,CharinSmile_Portrait,,,
,19,VerandaDialogue,김진혁,아@ 아뇨@ 베란다는 거의 안 나와봤어요.,,,,NamNormal_Portrait,,,
,,,,워낙 나갈 일도 없어서...,,,,,,,
,20,VerandaDialogue,이채린,어쩐지@ 제가 담배 피러 자주 나오는데 못 봤던 거 같아서요.,,,,CharinSuprised_Portrait,,,
,,,,담배는 안 피우세요?,,,,CharinSmile_Portrait,,,
,21,VerandaDialogue,김진혁,아...예전에 피긴 폈어요@ 많이는 아니고...,,,,NamNormal_Portrait,,,
,,,,한 주에 한~두 갑 정도...?,,,,,,,
,22,VerandaDialogue,이채린,나름 피셨네요.,,,,CharinSmile_Portrait,,,
,,,,제가 좀 자주 피는 편이라 주변에 냄새날까봐 좀 걱정이거든요.,,,,,,,
,,,,담배 냄새 괜찮아요?,,,,,,,
,23,VerandaDialogue,김진혁,(담배 냄새...),,,,NamSmile_Portrait,,,
,,,,이 정도는 괜찮아요. 그렇게 심한 편도 아닌 거 같은데요.,,,,,,,
,24,VerandaDialogue,이채린,고마워요 ㅋㅋㅋ,,,,CharinEyeSmile_Portrait,,,
,,,,...후,,,CV_Smoking_Illustration,CharinNormal_Portrait,,,
,,,,혹시 지금은 담배 안 피시나요?,,,CV_HandSmoke_Illustration,CharinSmile_Portrait,,,
,25,VerandaDialogue,김진혁,네@ 지금은 끊은 지 몇 년 됐어요.,,,,NamNormal_Portrait,,,
,26,VerandaDialogue,이채린,끊기 안 힘들었나요?,,,,CharinSuprised_Portrait,,,
,27,VerandaDialogue,김진혁,힘들었죠...,,,,NamNormal_Portrait,,,
,,,,(일하다가 피고@ 밥 먹고 피고@ 자기 전에 피고@ 퇴근하고 피고...),,,,,,,
,,,,(진짜 어려웠지...),,,,,,,
,28,VerandaDialogue,이채린,저랑은 반대네요.,,,,CharinSmile_Portrait,,,
,,,,저도 끊으려고 했는데@ 무의식적으로 계속 피우려고 하니까...,,,,,,,
,,,,하...,,,,CharinCloseEye_Portrait,,,
,29,VerandaDialogue,김진혁,그 맘 알죠...,,,,NamNormal_Portrait,,,
,30,VerandaDialogue,이채린,ㅋㅋㅋ...,,,,CharinSmile_Portrait,,,
,,,,담배 뭐 때문에 피셨어요?,,,,,,,
,31,VerandaDialogue,김진혁,음...,,,,NamNormal_Portrait,,,
,,,,회사 다니면서 자연스럽게 피게 됐어요.,,,,,,,
,,,,안 필려고 했는데@ 환경이...,,,,,,,
,,,,어쩔 수 없었죠...,,,,,,,
,32,VerandaDialogue,이채린,ㅋㅋㅋ 어쩔 수 없죠.,,,,CharinSmile_Portrait,,,
,,,,음...,,,,CharinNormal_Portrait,,,
,,,,혹시 나이가 어떻게 되세요?,,,,CharinSmile_Portrait,,,
,,,,방금부터 계속 존댓말만 쓰시던데.,,,,,,,
,33,VerandaDialogue,김진혁,(뭐...첫 만남부터 반말은 좀 그러니...),,,,NamNormal_Portrait,,,
,,,,25살이에요.,,,,,,,
,34,VerandaDialogue,이채린,오... 저랑 2살 차이 나시네요.,,,,CharinSuprised_Portrait,,,
,,,,저는 27살이에요.,,,,CharinNormal_Portrait,,,
,35,VerandaDialogue,김진혁,(...?!),,,,NamNormal_Portrait,,,
,,,,(20살 초반으로 보이는데...),,,,,,,
,,,,(외모로 나이 판단 진짜 못 하겠다...),,,,,,,
,36,VerandaDialogue,이채린,생각보다 나이 많아서 놀란 거에요? ,,,,CharinEyeSmile_Portrait,,,
,,,,얼굴에 당황했다고 다 쓰여있는데요 ㅋㅋㅋ,,,,,,,
,37,VerandaDialogue,김진혁,(솔직히...진짜 놀랐다...),,,,NamNormal_Portrait,,,
,,,,(외관으로 봤을 땐 진짜 20살 초반인 줄 알았다...),,,,,,,
,,,,아...약간?,,,,,,,
,38,VerandaDialogue,이채린,솔직하시네요 ㅋㅋㅋ,,,,CharinEyeSmile_Portrait,,,
,,,,...후,,,CV_Smoking_Illustration,CharinNormal_Portrait,,,
,,,,혹시 그럼 지금도 회사 다니시나요?,,,,CharinSmile_Portrait,,,
,39,VerandaDialogue,김진혁,아@ 아뇨.,,,,NamNormal_Portrait,,,
,,,,백수 생활한  지 몇 개월 됐어요.,,,CV_HandSmoke_Illustration,,,,
,40,VerandaDialogue,이채린,아... ,,,,CharinSuprised_Portrait,,,
,,,,음...,,,,CharinNormal_Portrait,,,
,,,,그럼 저 부탁 하나만 해도 되나요?,,,,,,,
,41,VerandaDialogue,김진혁,...?,,,,NamNormal_Portrait,,,
,42,VerandaDialogue,이채린,제가 1주일 뒤 면 이사 가는데...,,,,CharinSmile_Portrait,,,
,,,,혹시 이사 가기 전까지만 저랑 이렇게 수다 떠실래요?,,,,,,,
,,,,시간은...지금처럼 밤 9시 정도에요.,,,,,,,
,43,VerandaDialogue,김진혁,(...갑자기?),,,,NamSuprised_Portrait,,,
,44,VerandaDialogue,이채린,강요는 아니에요.,,,,CharinSmile_Portrait,,,
,,,,그냥 이렇게 오랜만에 수다 떠는 게 재밌어서...,,,,,,,
,,,,담배 피우면서 편하게 얘기할 수 있는 사람 오랜만이거든요.,,,,,,,
,45,VerandaDialogue,김진혁,...,,,,NamSuprised_Portrait,,,
,,,,(...갑작스럽긴 한데),,,,NamNormal_Portrait,,,
,,,,(...그래),,,,,,,
,,,,(슬슬 나가야 되기도 하고.),,,,,,,
,,,,(나도 이제 하루 종일 방구석에만 있을 순 없지.),,,,,,,
,,,,그래요@ 저도 딱히 할 건 없어서...,,,,,,,
,46,VerandaDialogue,이채린,정말요??,,,,CharinSuprised_Portrait,,,
,,,,1주일 동안 수다 떨 친구 생기니까 좋네요 ㅋㅋㅋ,,,,CharinEyeSmile_Portrait,,,
,,,,그럼 낼 9시에 뵐게요.,,,,,,,
,,,,먼저 들어갈게요! 진혁씨!,,,,,,,
,47,VerandaDialogue,김진혁,...ㄴ...네...,,,,NamNormal_Portrait,,,
,48,VerandaDialogue,김진혁,(...),,,Veranda_Illustration,,,Beranda_Sound_SFX,
,,,,(얼떨결에 받아버렸네...),,,,,,,
,,,,(에이 뭐...괜찮겠지.),,,,,,,
1010,1,VerandaDialogue,김진혁,(후우...오늘 되게 춥네.),,,Veranda_Illustration,NamNormal_Portrait,,,
,,,,(곧 겨울이라 그런가.),,,,,,,
,,,,(그래도 여름보단 겨울이 좋다.),,,,,,,
,,,,(벌레도 없고@ 하루 종일 에어컨 틀 필요도 없고.),,,,,,,
,,,,(전기세...후...),,,,,,,
,,,,(옛날 사람들은 에어컨 없이 어떻게 살았지...),,,,,,,
,,,,(...),,,,,,,
,,,,(언제 나오시려나...),,,,,,,
,,,,(뭐@ 좀만 기다리면 나오시겠지...),,,,,,,
,,,,(...),,,,,,,
,,,,(...),,,,,,,
,,,,(생각해 보니까...),,,,,,,
,,,,(나보다 나이도 많은데...),,,,,,,
,,,,(누나라고 해야 하나...),,,,NamSuprised_Portrait,,,
,,,,(흠...),,,,NamNormal_Portrait,,,
,,,,(어@ 나오신다.),,,,,,,
,2,VerandaDialogue,이채린,어@ 먼저 나와계셨네요?,,,CV_NoSmoke_Illustration,CharinSmile_Portrait,,,
,,,,잠시만요.,,,,,,,
,,,,...,,,!HideIllustration,,,Beranda_Sound_SFX,
,,,,...,,,CV_Smoking_Illustration,,,,NormalTalk_BGM
,,,,...후,,,,CharinNormal_Portrait,,,
,,,,반가워요@ 진혁씨.,,,CV_HandSmoke_Illustration,CharinSmile_Portrait,,,
,,,,오늘 나와줘서 고마워요.,,,,,,,
,3,VerandaDialogue,김진혁,아...네...뭐...,,,,NamNormal_Portrait,,,
,,,,(아직 어색하네...),,,,,,,
,4,VerandaDialogue,이채린,ㅎㅎ,,,,CharinSmile_Portrait,,,
,,,,많이 어색하신가보네요?,,,,,,,
,5,VerandaDialogue,김진혁,어...조금요...?,,,,NamNormal_Portrait,,,
,6,VerandaDialogue,이채린,솔직하시네요 ㅋㅋㅋ,,,,CharinEyeSmile_Portrait,,,
,,,,그럼 어색한 분위기도 깰 겸...,,,,CharinSmile_Portrait,,,
,,,,평소에 뭐 하고 지내세요?,,,,,,,
,7,VerandaDialogue,김진혁,어...,,,,NamNormal_Portrait,,,
,,,,저는...,5,,,,,,
,8,VerandaDialogue,김진혁,평소에 특별히 하는 건 없어요.,,,,NamNormal_Portrait,,,
,,,,잠이 좀 많은 편이라@ 푹 자고 일어나면 보통 1시 정도에요.,,,,,,,
,,,,그러고는 간단하게 점심부터 먹는데...,,,,,,,
,,,,제가 요리를 할 줄 몰라서...,,,,,,,
,,,,거의 매번 시켜 먹거든요.,,,,,,,
,,,,배달비 때문에 점심에 많이 시키고@ 남은 건 저녁에 먹어요.,,,,,,,
,,,,밥 먹고 난 다음에는...,,,,,,,
,,,,폰도 하고@ 게임도 하고...,,,,,,,
,,,,그러면서 시간 보내는 편인 거 같아요.,,,,,,,
,9,VerandaDialogue,이채린,편하게 지내는 백수 같아서 좋네요.,,,,CharinSmile_Portrait,,,
,10,VerandaDialogue,김진혁,칭찬인가요...?,,,,NamNormal_Portrait,,,
,11,VerandaDialogue,이채린,당연하죠 ㅋㅋㅋ,,14,,CharinEyeSmile_Portrait,,,
,12,VerandaDialogue,김진혁,평소에 뭐 안 해요...,,,,NamNormal_Portrait,,,
,,,,맨날 자고@ 폰 하고@ 밥 먹고...,,,,,,,
,,,,그게 다죠 뭐...,,,,,,,
,,,,백수라서 하는 것도 없이...,,,,,,,
,,,,시간만 낭비하는 편인 거 같아요.,,,,,,,
,13,VerandaDialogue,이채린,...좋네요,,,,CharinNormal_Portrait,,,
,14,VerandaDialogue,이채린,일은...저번에 그만뒀다고 하셨나요?,,,,CharinSmile_Portrait,,,
,15,VerandaDialogue,김진혁,네...뭐...백수 된 지 좀 되긴 했죠.,,,,NamNormal_Portrait,,,
,16,VerandaDialogue,이채린,혹시 왜 그만두셨어요?,,,,CharinNormal_Portrait,,,
,17,VerandaDialogue,김진혁,회사가...,,,,NamNormal_Portrait,,,
,18,VerandaDialogue,이채린,회사가?,,,,CharinNormal_Portrait,,,
,19,VerandaDialogue,김진혁,회사가 망했어요.,,,,NamSuprised_Portrait,,,
,20,VerandaDialogue,이채린,아...,,,,CharinSuprised_Portrait,,,
,,,,유감이에요...,,,,CharinCloseEye_Portrait,,,
,21,VerandaDialogue,김진혁,아니에요@ 뭐.,,,,NamNormal_Portrait,,,
,,,,회사가 저 때문에 망한 것도 아닌데요.,,,,,,,
,,,,(나름 괜찮은 조건이고 신입도 뽑아준다고 해서 간 건데),,,,,,,
,,,,(월급은 매번 1~2달씩은 밀리고...),,,,,,,
,,,,(매일 야근에@ 주말에도 일 연락이 오는 블랙 기업...),,,,,,,
,,,,(사실 안 망한 게 더 이상하긴 하지.) ,,,,,,,
,22,VerandaDialogue,이채린,그렇긴 하죠.,,,,CharinSmile_Portrait,,,
,,,,음...약간 무례한 질문일 수도 있는데요...,,,,CharinNormal_Portrait,,,
,,,,그러면 지금 생활비는 어떻게 벌고 계세요?,,,,,,,
,23,VerandaDialogue,김진혁,음...,,,,NamNormal_Portrait,,,
,,,,백수 생활 시작하면서 퇴직금을 받긴 했어요.,,,,,,,
,,,,근데 확실히 많지는 않아서...생활비가 조금 빠듯하더라고요.,,,,,,,
,,,,그래도 생활비는 벌어야 하니 온라인에서 알바하는 게 있어요.,,,,,,,
,24,VerandaDialogue,이채린,진짜요?,,,,CharinSuprised_Portrait,,,
,,,,막 댓글 알바 그런 거 아니죠? ㅋㅋㅋ,,,,CharinEyeSmile_Portrait,,,
,25,VerandaDialogue,김진혁,아니에요 ㅋㅋㅋ,,,,NamSmile_Portrait,,,
,26,VerandaDialogue,이채린,ㅋㅋㅋㅋㅋㅋ,,,,CharinEyeSmile_Portrait,,,
,,,,그럼 어떤 거 하고 있어요?,,,,CharinSmile_Portrait,,,
,27,VerandaDialogue,김진혁,저 외주 받고 있어요.,,,,NamNormal_Portrait,,,
,28,VerandaDialogue,이채린,어떤 외주요?,,,,CharinSmile_Portrait,,,
,29,VerandaDialogue,김진혁,음...,,,,NamNormal_Portrait,,,
,,,,프로그래밍 관련 외주에요.,,,,,,,
,30,VerandaDialogue,이채린,오...,,,,CharinSuprised_Portrait,,,
,,,,컴퓨터 되게 잘하시겠네요.,,,,,,,
,31,VerandaDialogue,김진혁,돈 벌고 먹고 살 정도는 가능하죠.,,,,NamNormal_Portrait,,,
,32,VerandaDialogue,이채린,오...,,,,CharinSuprised_Portrait,,,
,,,,나름 성실하고 좋네요.,,,,CharinSmile_Portrait,,,
,33,VerandaDialogue,김진혁,그렇죠.,,,,NamNormal_Portrait,,,
,34,VerandaDialogue,이채린,...후,,,CV_Smoking_Illustration,CharinNormal_Portrait,,,
,35,VerandaDialogue,김진혁,저 혹시...실례가 안 된다면...,,,,NamNormal_Portrait,,,
,36,VerandaDialogue,이채린,...?,,,,CharinNormal_Portrait,,,
,37,VerandaDialogue,김진혁,제가 뭐라고 부르는 게 좋을까요...?,,,,NamSuprised_Portrait,,,
,38,VerandaDialogue,이채린,아아...,,,CV_HandSmoke_Illustration,CharinNormal_Portrait,,,
,,,,부르고 싶은 대로 불러도 돼요.,,,,CharinSmile_Portrait,,,
,,,,진혁씨는 저 뭐라고 부르고 싶으세요?,6,,,,,,
,39,VerandaDialogue,김진혁,야...?,,,,NamNormal_Portrait,,,
,40,VerandaDialogue,이채린,...,,,,CharinNormal_Portrait,,,
,,,,그래도 제가 더 나이가 많은데 ‘야’ 는 좀 그렇지 않나요?,,,,,,,
,41,VerandaDialogue,김진혁,(아...),,,,NamNormal_Portrait,,,
,42,VerandaDialogue,이채린,농담이에요 ㅋㅋㅋ,,,,CharinSmile_Portrait,,,
,43,VerandaDialogue,김진혁,아...네...,,,,NamNormal_Portrait,,,
,44,VerandaDialogue,이채린,편하게 누나라고 불러요.,,,,CharinSmile_Portrait,,,
,45,VerandaDialogue,김진혁,네! 누나!,,,,NamSmile_Portrait,,,
,46,VerandaDialogue,이채린,ㅋㅋㅋ 누나 좋네요.,,49,,CharinSmile_Portrait,,,
,47,VerandaDialogue,김진혁,누...누나...?,,,,NamNormal_Portrait,,,
,48,VerandaDialogue,이채린,ㅋㅋㅋㅋㅋㅋ,,,,CharinEyeSmile_Portrait,,,
,,,,누나 좋네요.,,,,CharinSmile_Portrait,,,
,,,,그게 편하면 그렇게 불러요.,,,,,,,
,,,,누나 소리는 정말 오랜만에 듣네요.,,,,,,,
,49,VerandaDialogue,이채린,...후,,,CV_Smoking_Illustration,CharinNormal_Portrait,,,
,50,VerandaDialogue,김진혁,그럼 누나는 평소에 뭐 해요?,,,,NamNormal_Portrait,,,
,51,VerandaDialogue,이채린,음...,,,CV_HandSmoke_Illustration,CharinCloseEye_Portrait,,,
,,,,사실 저도 진혁씨랑 크게 다르지는 않아요.,,,,CharinSmile_Portrait,,,
,,,,대신 알바 나가는 거 정도?,,,,,,,
,,,,지금 알바 두 개 정도 하고 있거든요.,,,,,,,
,52,VerandaDialogue,김진혁,오...,,,,NamSuprised_Portrait,,,
,,,,(알바를 두 개나...),,,,,,,
,,,,어떤 알바 하고 있어요?,,,,NamNormal_Portrait,,,
,53,VerandaDialogue,이채린,별건 아니고@ 전담 가게 알바랑 피씨방 알바하고 있어요.,,,,CharinSmile_Portrait,,,
,,,,예전에는 편의점 알바도 하고@ 옷 가게 알바도 하고 그랬었는데...,,,,,,,
,,,,지금은 딱 요거 두 개 하고 있어요.,,,,,,,
,54,VerandaDialogue,김진혁,(와...),,,,NamSuprised_Portrait,,,
,,,,(진짜 바쁘게 사신다...),,,,,,,
,55,VerandaDialogue,이채린,전담 가게는 주말 빼고 다 나가요. 점심 먹고 저녁 시간까지 쭉 하다가 집에 오고...,,,,CharinSmile_Portrait,,,
,,,,이제 거의 2년 정도 했나...,,,,,,,
,,,,원래 자주 다니던 전담 가게였어요.,,,,,,,
,,,,사장님이랑도 친한데@ 지금 알바생 한 명을 구하고 있는데 안 구해진다고.,,,,,,,
,,,,마침 돈도 필요해서 제가 하겠다고 하니 흔쾌히 받아 주셨어요.,,,,,,,
,56,VerandaDialogue,김진혁,안 힘들어요...?,,,,NamSuprised_Portrait,,,
,57,VerandaDialogue,이채린,네@ 크게 하는 게 없어요.,,,,CharinSmile_Portrait,,,
,,,,재고 정리랑 손님 접대 정도? ,,,,,,,
,58,VerandaDialogue,김진혁,오...,,,,NamSuprised_Portrait,,,
,59,VerandaDialogue,이채린,원래는 전에 살던 곳 근처여서 알바하기에 무리가 없었어요.,,,,CharinSmile_Portrait,,,
,,,,이사한 뒤로 거리가 멀어져서 알바를 그만둬야 했었는데...,,,,,,,
,,,,다행히도 사장님이 집 근처에 2호점을 차리게 돼서 지금도 계속 사장님 밑에서 알바하고 있어요.,,,,,,,
,60,VerandaDialogue,김진혁,오...다행이네요.,,,,NamSuprised_Portrait,,,
,,,,피씨방 알바는 어때요?,,,,NamNormal_Portrait,,,
,61,VerandaDialogue,이채린,아...피씨방 알바...,,,,CharinNormal_Portrait,,,
,62,VerandaDialogue,김진혁,...?,,,,NamNormal_Portrait,,,
,63,VerandaDialogue,이채린,제가 주말 빼고 다 알바 한다고 했잖아요?,,,,CharinSmile_Portrait,,,
,64,VerandaDialogue,김진혁,그렇죠?,,,,NamNormal_Portrait,,,
,65,VerandaDialogue,이채린,전담 가게 알바는 이제 적응도 해서...,,,,CharinNormal_Portrait,,,
,,,,주말에도 알바나 해볼까 싶어서 피씨방 알바를 지원했는데...,,,,,,,
,,,,지금 몇 주째 알바비를 안 주더라고요.,,,,CharinCloseEye_Portrait,,,
,66,VerandaDialogue,김진혁,네...?,,,,NamSuprised_Portrait,,,
,67,VerandaDialogue,이채린,그래서 신고하고 아마 다음 주까지만 다닐 거 같아요.,,,,CharinNormal_Portrait,,,
,,,,알바비는 받으면 받는 거고@ 못 받으면 뭐...,,,,,,,
,,,,어쩔 수 없죠 ㅋㅋㅋ,,,,CharinSmile_Portrait,,,
,68,VerandaDialogue,김진혁,유감...이네요...,,,,NamNormal_Portrait,,,
,69,VerandaDialogue,이채린,괜찮아요 ㅋㅋㅋ,,,,CharinSmile_Portrait,,,
,,,,안 그래도 주말 알바 힘들어서 이제 안 할 생각하고 있었어요.,,,,,,,
,,,,...후,,,CV_Smoking_Illustration,CharinNormal_Portrait,,,
,,,,여튼@ 평소에 알바 갔다 오면 저녁 먹을 시간이 딱 돼요.,,,CV_HandSmoke_Illustration,CharinSmile_Portrait,,,
,,,,보통 7시 정도?,,,,,,,
,,,,예전에는 배달시켜 먹고 남으면 그 담날까지 먹고 그랬는데...,,,,,,,
,,,,그렇게 먹고 살다 보니까 건강이 점점 안 좋아져서 몸이 좀 아팠거든요.,,,,,,,
,,,,그래서 저는 보통 해 먹는 편이에요,,,,,,,
,70,VerandaDialogue,김진혁,오오...요리 고수?,,,,NamSuprised_Portrait,,,
,71,VerandaDialogue,이채린,그 정도는 아니에요 ㅋㅋㅋ,,,,CharinEyeSmile_Portrait,,,
,,,,딱 자취 요리 정도 할 줄 알아요.,,,,CharinSmile_Portrait,,,
,,,,계란 볶음밥이나@ 김치찌개 그런 거 있잖아요.,,,,,,,
,72,VerandaDialogue,김진혁,와...,,,,NamSuprised_Portrait,,,
,73,VerandaDialogue,이채린,진혁씨는 보통 안 해 먹어요?,,,,CharinSmile_Portrait,,,
,74,VerandaDialogue,김진혁,아...요리...,,,,NamNormal_Portrait,,,
,,,,(예전에 태워 먹은 요리만 해도 한두 개가 아니라...),,,,,,,
,,,,(아마 다시는 요리를 안 하지 않을까...),,,,,,,
,,,,요리 쪽에는 재능이 없나 봐요... 자꾸 실수만 하고... ,,,,,,,
,,,,그래서 몇 번 해보다가 안 하게 된 거 같아요.,,,,,,,
,75,VerandaDialogue,이채린,처음엔 다 그렇죠.,,,,CharinSmile_Portrait,,,
,,,,지금도 처음에 태워 먹은 프라이팬 생각이 아직도 나요.,,,,CharinEyeSmile_Portrait,,,
,76,VerandaDialogue,김진혁,ㅋㅋㅋㅋㅋㅋ,,,,NamSmile_Portrait,,,
,77,VerandaDialogue,이채린,처음으로 볶음밥 해 먹을 때는 어머니가 그 소리도 하셨어요.,,,,CharinSmile_Portrait,,,
,,,,볶음밥인데 왜 이렇게 기름이 많냐고...ㅋㅋㅋ,,,,CharinEyeSmile_Portrait,,,
,78,VerandaDialogue,김진혁,ㅋㅋㅋㅋㅋㅋ,,,,NamSmile_Portrait,,,
,79,VerandaDialogue,이채린,그때 제가 분명 볶음밥을 만들었는데...국 요리가 된...ㅋㅋㅋ,,,,CharinEyeSmile_Portrait,,,
,80,VerandaDialogue,김진혁,누나@ 그건 진짜 충격인데요.,,,,NamSmile_Portrait,,,
,81,VerandaDialogue,이채린,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,CharinEyeSmile_Portrait,,,
